p_val	avg_logFC	pct.1	pct.2	p_val_adj
FGFBP2	9.65821536959459e-87	2.04347938699724	0.852	0.013	1.40768489011841e-82
PRF1	8.50745749801539e-53	1.72386944634182	0.885	0.225	1.23996193033574e-48
RAP1GAP2	1.20469347443425e-52	1.71918557807707	0.738	0.035	1.75584073898791e-48
BC043356	6.73454814658929e-45	1.32406563882657	0.541	0.011	9.81560392365388e-41
NKG7	1.02220977144624e-43	1.49721903204948	1	0.509	1.48987074188289e-39
GNLY	7.799326572256e-37	1.46032576854984	0.951	0.238	1.13675184790631e-32
SPON2	2.25215698151277e-33	1.06527759919207	0.361	0.005	3.28251880055487e-29
S1PR5	8.75549859911189e-30	0.944273778723014	0.492	0.024	1.27611392082056e-25
PLAC8	4.21545675634501e-27	1.13992296108573	0.607	0.072	6.14402822237285e-23
C1ORF21	4.585358400937e-27	1.34868124833885	0.852	0.257	6.68315986936568e-23
GZMB	1.6664128253332e-25	1.1679131761871	0.902	0.274	2.42879669292314e-21
GZMH	6.46325737712253e-24	1.0640625815133	0.902	0.301	9.42019762715608e-20
LINC00299	3.22993563938831e-23	1.28171996695663	0.41	0.036	4.70763119440846e-19
LYN	1.28951564193904e-19	1.16501233919484	0.475	0.061	1.87946904812614e-15
UBE2F	1.69969513971799e-19	1.10573239555539	0.525	0.127	2.47730566613897e-15
KLRF1	3.72600364765367e-18	1.12866129922169	0.393	0.038	5.43065031645523e-14
PDGFD	9.67608534184008e-18	1.38743326892322	0.475	0.08	1.41028943857319e-13
KLRD1	2.60575126348341e-17	0.865281372833659	0.639	0.145	3.79788246652707e-13
BNC2	5.79994126696278e-17	1.10381688105442	0.328	0.024	8.45341439659824e-13
FAM53B	1.12662510818565e-16	0.937366821547897	0.672	0.226	1.64205609518058e-12
CD247	1.48696495873305e-16	0.849300423472215	0.967	0.693	2.16725142735342e-12
TGFBR3	1.43824610793479e-15	1.00324200114284	0.836	0.468	2.09624370231495e-11
ZEB2	4.42499645455437e-15	0.737218208336051	0.967	0.575	6.449432332513e-11
TMCC3	8.4187920896243e-15	0.945279624645716	0.443	0.068	1.22703894706274e-10
RAP2B	2.6845174772768e-14	0.82155679943955	0.656	0.223	3.91268422313094e-10
TTC38	6.3682912110198e-14	0.748025556377529	0.279	0.03	9.28178444006135e-10
PTPN12	6.463219501904e-14	0.915795481395775	0.492	0.102	9.42014242402508e-10
TFDP2	2.84088217178937e-13	0.885577472472764	0.672	0.217	4.14058576538301e-09
KLHDC4	1.31196968390779e-12	0.714207706297212	0.738	0.28	1.9121958142956e-08
BCR	2.26063745333256e-12	0.710846762397964	0.541	0.139	3.29487908823221e-08
GK5	5.38178838044951e-12	0.834915252814526	0.393	0.073	7.84395656450516e-08
AUTS2	2.50092139861931e-11	0.848088022760481	0.803	0.41	3.64509293848765e-07
DGKD	5.93145208659709e-11	0.775370416871999	0.59	0.198	8.64509141621526e-07
NCAM1	1.46872199434739e-10	0.834368845654876	0.295	0.039	2.14066230676133e-06
SGCD	1.95441101687778e-10	0.768799864225262	0.197	0.012	2.84855405709937e-06
TYROBP	9.84575671020909e-10	0.710065321943491	0.426	0.105	1.43501904051298e-05
DOCK5	1.00734152852631e-09	1.02407407195079	0.41	0.112	1.4682002778271e-05
RASA3	1.82281190941215e-09	0.751990332086036	0.689	0.353	2.65674835796821e-05
PTPN7	2.11212880516511e-09	0.759318191956617	0.623	0.26	3.07842773352814e-05
MYO1F	3.06375472788925e-09	0.732452454855139	0.705	0.398	4.46542251589859e-05
B3GNT7	3.35411155714458e-09	0.74334114358479	0.18	0.015	4.88861759453823e-05
ITGAL	3.96853699013077e-09	0.742811648735049	0.639	0.282	5.78414266311559e-05
MTSS1	7.20943090560772e-09	0.702637464162362	0.328	0.064	0.000105077455449233
HAVCR2	9.1070611924259e-09	0.755783171044904	0.377	0.09	0.000132735416879608
SSBP3	1.47092213745324e-08	0.712568970849351	0.541	0.203	0.00021438690153381
YES1	3.03734378119999e-08	0.943616958564537	0.508	0.197	0.000442692856109898
CADM1	3.63292843857234e-08	0.755043426767591	0.525	0.192	0.000529499319921918
FOXK2	3.97404424195402e-08	0.76784072650423	0.475	0.176	0.000579216948264798
LINGO2	8.15576629108336e-08	1.43195627240607	0.18	0.024	0.0011887029369254
IGF1R	1.32766622758111e-05	0.857326451652924	0.213	0.064	0.193507352669947
